id,cost,status,xloc,yloc
1,1,0,-12463.8185403,1649614.6716899
2,1,0,-22463.8185403,1639614.6716899
3,1,3,-172463.8185403,1629614.6716899
4,1,3,-162463.8185403,1629614.6716899
5,1,3,-152463.8185403,1629614.6716899
6,1,0,-142463.8185403,1629614.6716899
7,1,3,-132463.8185403,1629614.6716899
8,1,3,-102463.8185403,1629614.6716899
9,1,3,-92463.8185403,1629614.6716899
10,1,3,-82463.8185403,1629614.6716899
11,1,0,-72463.8185403,1629614.6716899
12,1,0,-42463.8185403,1629614.6716899
13,1,3,-142463.8185403,1619614.6716899
14,1,3,-102463.8185403,1619614.6716899
15,1,0,-92463.8185403,1619614.6716899
16,1,0,-82463.8185403,1619614.6716899
17,1,0,-72463.8185403,1619614.6716899
18,1,0,-42463.8185403,1619614.6716899
19,1,0,-32463.8185403,1619614.6716899
20,1,3,-202463.8185403,1609614.6716899
21,1,3,-192463.8185403,1609614.6716899
22,1,3,-122463.8185403,1609614.6716899
23,1,0,-92463.8185403,1609614.6716899
24,1,3,-82463.8185403,1609614.6716899
25,1,3,-72463.8185403,1609614.6716899
26,1,0,-42463.8185403,1609614.6716899
27,1,0,-32463.8185403,1609614.6716899
28,1,3,-232463.8185403,1599614.6716899
29,1,3,-222463.8185403,1599614.6716899
30,1,3,-152463.8185403,1599614.6716899
31,1,3,-122463.8185403,1599614.6716899
32,1,3,-112463.8185403,1599614.6716899
33,1,3,-102463.8185403,1599614.6716899
34,1,3,-92463.8185403,1599614.6716899
35,1,3,-82463.8185403,1599614.6716899
36,1,3,-72463.8185403,1599614.6716899
37,1,0,-62463.8185403,1599614.6716899
38,1,0,-42463.8185403,1599614.6716899
39,1,3,-242463.8185403,1589614.6716899
40,1,3,-202463.8185403,1589614.6716899
41,1,3,-172463.8185403,1589614.6716899
42,1,3,-162463.8185403,1589614.6716899
43,1,3,-152463.8185403,1589614.6716899
44,1,3,-142463.8185403,1589614.6716899
45,1,3,-132463.8185403,1589614.6716899
46,1,3,-122463.8185403,1589614.6716899
47,1,3,-112463.8185403,1589614.6716899
48,1,0,-102463.8185403,1589614.6716899
49,1,0,-92463.8185403,1589614.6716899
