species,pu,amount
1,1,0
2,1,0
3,1,0
4,1,0
5,1,146.5
6,1,6.66907815627903e-05
1,2,0
2,2,0
3,2,0
4,2,0
5,2,3.57142857142857
6,2,2.41760709275226e-05
1,3,0
2,3,0
3,3,0
4,3,0
5,3,8
6,3,2.89771436916162e-05
1,4,0
2,4,0
3,4,0
4,4,0
5,4,15.4444444444444
6,4,8.71953582017426e-06
1,5,0
2,5,0
3,5,0
4,5,0
5,5,38.5
6,5,6.90641045254203e-06
1,6,0
2,6,0
3,6,0
4,6,0
5,6,28.7
6,6,6.00835408647916e-06
1,7,0
2,7,0
3,7,0
4,7,0
5,7,2
6,7,3.8644726696145e-06
1,8,0
2,8,0
3,8,0
4,8,0
5,8,1
6,8,9.82117625429409e-06
1,9,0
2,9,0
3,9,0
4,9,0
5,9,1.55555555555556
6,9,9.09761630400644e-06
1,10,0
2,10,0
3,10,1
4,10,0.00972684255101017
5,10,2
6,10,2.34550832907168e-05
1,11,0
2,11,0
3,11,0
4,11,0
5,11,5.42857142857143
6,11,1.21195439330865e-06
1,12,0
2,12,0
3,12,0
4,12,0
5,12,7.44444444444444
6,12,1.65748086510058e-05
1,13,0
2,13,0
3,13,0
4,13,0
5,13,15.3
6,13,9.94888046618748e-06
1,14,0
2,14,0
3,14,0
4,14,0
5,14,35.6
6,14,1.14640869486661e-05
1,15,0
2,15,0
3,15,0
4,15,0
5,15,49.1
6,15,9.49914094329165e-06
1,16,0
2,16,0
3,16,0
4,16,0
5,16,29.7
6,16,4.29211250698931e-06
1,17,0
2,17,0
3,17,0
4,17,0
5,17,9.6
6,17,7.55311702423752e-06
1,18,0
2,18,0
3,18,0
4,18,0
5,18,3.25
6,18,9.5608380072549e-06
1,19,0
2,19,0
3,19,1
4,19,0.00230294255367368
5,19,2.25
6,19,3.28879528012741e-06
1,20,0
2,20,0
3,20,0
4,20,0
5,20,4.4
6,20,1.01924773965296e-05
1,21,1
2,21,6.61187386369882e-21
3,21,4.9
4,21,0.00562568785474123
5,21,1
6,21,1.07860973630881e-06
1,22,0
2,22,0
3,22,1.66666666666667
4,22,0.0021538757153186
5,22,1
6,22,1.50252201924142e-07
1,23,0
2,23,0
3,23,0
4,23,0
5,23,7.88888888888889
6,23,2.45195391773092e-05
1,24,0
2,24,0
3,24,0
4,24,0
5,24,6.125
6,24,9.60540359797731e-06
1,25,0
2,25,0
3,25,0
4,25,0
