species,pu,amount
1,1,4
2,1,5.56345836691251e-05
1,2,2
2,2,3.04263533823688e-07
1,3,0
2,3,0
1,4,1
2,4,1.38476419191999e-05
1,5,1.33333333333333
2,5,1.25871880513772e-05
1,6,1
2,6,3.24312311278067e-06
1,7,1
2,7,6.03416212906608e-18
1,8,1
2,8,0
1,9,0
2,9,0
1,10,1
2,10,3.43453168235806e-05
1,11,0
2,11,0
1,12,0
2,12,0
1,13,1
2,13,2.39594368608184e-10
1,14,1.4
2,14,3.96599243867601e-05
1,15,2
2,15,3.44861233115203e-09
1,16,1
2,16,5.7726631705605e-07
1,17,1
2,17,7.83191537148056e-10
1,18,0
2,18,0
1,19,0
2,19,0
1,20,1
2,20,5.09767856275825e-08
1,21,0
2,21,0
1,22,1
2,22,1.40118192748569e-06
1,23,1
2,23,4.43937133388483e-05
1,24,1.5
2,24,4.12002868358131e-07
1,25,1
2,25,2.75601538174101e-05
1,26,1
2,26,2.75567173205759e-05
1,27,1
2,27,5.10466183419205e-08
1,28,1
2,28,2.84533716948189e-09
1,29,2.5
2,29,1.03739586073803e-05
1,30,1.33333333333333
2,30,2.33310476389069e-05
1,31,0
2,31,0
1,32,1
2,32,2.93843060286748e-05
1,33,0
2,33,0
1,34,0
2,34,0
1,35,2
2,35,0.000116122687661766
1,36,1
2,36,0
1,37,1
2,37,3.09626517531707e-06
1,38,2
2,38,1.41212103114523e-05
1,39,0
2,39,0
1,40,1
2,40,3.10328264196057e-05
1,41,0
2,41,0
1,42,1
2,42,3.8078473137444e-06
1,43,0
2,43,0
1,44,0
2,44,0
1,45,1
2,45,0
1,46,1.4
2,46,6.64851085076591e-05
1,47,0
2,47,0
1,48,1
2,48,1.30207507449077e-05
1,49,1.5
2,49,3.24319376123303e-05
1,50,2.4
2,50,3.61262446187457e-05
1,51,1
2,51,1.9441939079299e-05
1,52,0
2,52,0
1,53,0
2,53,0
1,54,0
2,54,0
1,55,0
2,55,0
1,56,1
2,56,7.62470145936257e-07
1,57,0
2,57,0
1,58,0
2,58,0
1,59,1
2,59,2.04233179753006e-17
1,60,1
2,60,6.04742402385523e-17
1,61,1
2,61,5.80864170658341e-05
1,62,1.5
2,62,4.37357246633992e-05
1,63,0
2,63,0
1,64,3.55555555555556
2,64,5.71319531297271e-05
1,65,1.83333333333333
2,65,1.95642626330252e-05
1,66,2
2,66,2.29930181098153e-05
1,67,1
2,67,8.64534191993639e-10
1,68,0
2,68,0
1,69,1
2,69,7.02795346359285e-07
1,70,1
2,70,1.19279496046149e-08
