id,cost,status,xloc,yloc
1,1,0,313243.95260297,925944.53952376
2,1,0,323989.6519212,925944.53952376
3,1,0,307871.10294385,935250.58811478
4,1,0,318616.80226208,935250.58811478
5,1,0,329362.50158032,935250.58811478
6,1,0,340108.20089855,935250.58811478
7,1,0,447565.19408091,935250.58811478
8,1,0,458310.89339914,935250.58811478
9,1,0,469056.59271738,935250.58811478
10,1,0,479802.29203561,935250.58811478
11,1,0,291752.55396649,944556.63670581
12,1,0,302498.25328473,944556.6367058
13,1,0,313243.95260297,944556.63670581
14,1,0,323989.6519212,944556.63670581
15,1,0,334735.35123944,944556.63670581
16,1,0,345481.05055767,944556.6367058
17,1,0,356226.74987591,944556.63670581
18,1,0,420700.94578532,944556.6367058
19,1,0,431446.64510356,944556.63670581
20,1,0,442192.34442179,944556.63670581
21,1,0,485175.14169473,944556.63670581
22,1,0,495920.84101297,944556.6367058
23,1,0,286379.70430738,953862.68529682
24,1,0,297125.40362561,953862.68529683
25,1,0,307871.10294385,953862.68529683
26,1,0,318616.80226208,953862.68529682
27,1,0,329362.50158032,953862.68529682
28,1,0,340108.20089855,953862.68529682
29,1,0,350853.90021679,953862.68529683
30,1,0,361599.59953502,953862.68529682
31,1,0,372345.29885326,953862.68529683
32,1,0,404582.39680797,953862.68529682
33,1,0,415328.0961262,953862.68529683
34,1,0,501293.69067209,953862.68529683
35,1,0,281006.85464826,963168.73388785
36,1,0,291752.55396649,963168.73388784
37,1,0,302498.25328473,963168.73388785
38,1,0,313243.95260297,963168.73388784
39,1,0,323989.6519212,963168.73388785
40,1,0,334735.35123944,963168.73388784
41,1,0,345481.05055767,963168.73388785
42,1,0,356226.74987591,963168.73388784
43,1,0,366972.44919414,963168.73388785
44,1,0,377718.14851238,963168.73388785
45,1,0,495920.84101297,963168.73388785
46,1,0,275634.00498914,972474.78247887
47,1,0,286379.70430738,972474.78247887
48,1,0,297125.40362561,972474.78247887
49,1,0,307871.10294385,972474.78247887
50,1,0,318616.80226208,972474.78247887
51,1,0,329362.50158032,972474.78247887
52,1,0,340108.20089855,972474.78247887
53,1,0,350853.90021679,972474.78247887
54,1,0,361599.59953502,972474.78247887
55,1,0,372345.29885326,972474.78247887
56,1,0,270261.15533002,981780.83106989
57,1,0,281006.85464826,981780.83106989
58,1,0,291752.55396649,981780.83106989
59,1,0,302498.25328473,981780.83106989
60,1,0,313243.95260297,981780.83106989
61,1,0,323989.6519212,981780.83106989
62,1,0,334735.35123944,981780.83106989
63,1,0,345481.05055767,981780.83106989
64,1,0,254142.60635267,991086.8796609
65,1,0,264888.30567091,991086.87966091
66,1,0,275634.00498914,991086.87966091
67,1,0,286379.70430738,991086.87966091
68,1,0,297125.40362561,991086.87966091
69,1,0,307871.10294385,991086.87966091
70,1,0,318616.80226208,991086.87966091
71,1,0,329362.50158032,991086.87966091
72,1,0,490547.99135385,991086.87966091
73,1,0,259515.45601179,1000392.92825193
74,1,0,270261.15533002,1000392.92825193
75,1,0,281006.85464826,1000392.92825193
76,1,0,291752.55396649,1000392.92825193
77,1,0,302498.25328473,1000392.92825193
78,1,0,313243.95260297,1000392.92825193
79,1,0,506666.5403312,1000392.92825193
80,1,0,232651.2077162,1009698.97684295
81,1,0,243396.90703444,1009698.97684295
82,1,0,254142.60635267,1009698.97684295
83,1,0,264888.30567091,1009698.97684295
84,1,0,275634.00498914,1009698.97684295
85,1,0,286379.70430738,1009698.97684295
86,1,0,297125.40362561,1009698.97684295
87,1,0,490547.99135385,1009698.97684295
