species,pu,amount
1,1,0
2,1,0
3,1,0
4,1,0
5,1,1
6,1,3.14384018231924e-07
1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,1
6,3,3.97177510709672e-07
1,4,0
2,4,0
3,4,0
4,4,0
5,4,1
6,4,7.05640738537058e-08
1,5,0
2,5,0
3,5,0
4,5,0
5,5,1.5
6,5,1.41338428203731e-05
1,6,0
2,6,0
3,6,0
4,6,0
5,6,1
6,6,1.63763236005061e-05
1,7,0
2,7,0
3,7,0
4,7,0
5,7,0
6,7,0
1,8,0
2,8,0
3,8,0
4,8,0
5,8,0
6,8,0
1,9,0
2,9,0
3,9,0
4,9,0
5,9,0
6,9,0
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
1,11,0
2,11,0
3,11,0
4,11,0
5,11,0
6,11,0
1,12,0
2,12,0
3,12,0
4,12,0
5,12,1
6,12,1.00655067797507e-07
1,13,0
2,13,0
3,13,0
4,13,0
5,13,1
6,13,6.9784915536821e-08
1,14,0
2,14,0
3,14,0
4,14,0
5,14,1
6,14,2.13090358245091e-05
1,15,0
2,15,0
3,15,0
4,15,0
5,15,2.5
6,15,3.87213788640009e-05
1,16,0
2,16,0
3,16,0
4,16,0
5,16,2
6,16,7.45896652941863e-08
1,17,0
2,17,0
3,17,0
4,17,0
5,17,0
6,17,0
1,18,0
2,18,0
3,18,0
4,18,0
5,18,0
6,18,0
1,19,0
2,19,0
3,19,0
4,19,0
5,19,0
6,19,0
1,20,0
2,20,0
3,20,0
4,20,0
5,20,0
6,20,0
1,21,1
2,21,1.08023016750499e-17
3,21,1
4,21,0.00168466366387533
5,21,0
6,21,0
1,22,0
2,22,0
3,22,0
4,22,0
5,22,0
6,22,0
1,23,0
2,23,0
3,23,0
4,23,0
5,23,1
6,23,4.10230287339429e-07
1,24,0
2,24,0
3,24,0
4,24,0
5,24,0
6,24,0
1,25,0
2,25,0
3,25,0
4,25,0
5,25,0
6,25,0
1,26,0
2,26,0
3,26,0
4,26,0
5,26,1.5
6,26,2.89266483029655e-05
1,27,0
2,27,0
3,27,0
4,27,0
5,27,0
6,27,0
1,28,0
2,28,0
3,28,0
4,28,0
5,28,2
6,28,6.49302752656956e-08
1,29,0
2,29,0
3,29,0
4,29,0
5,29,2
6,29,2.33857425878172e-07
1,30,0
2,30,0
3,30,0
