id,cost,status,xloc,yloc
1,0.1,3,313243.95260297,925944.53952376
2,0.1,3,323989.6519212,925944.53952376
3,0.1,3,307871.10294385,935250.58811478
4,0.1,3,318616.80226208,935250.58811478
5,0.1,3,329362.50158032,935250.58811478
6,0.1,3,340108.20089855,935250.58811478
7,0.1,3,447565.19408091,935250.58811478
8,0.1,3,458310.89339914,935250.58811478
9,0.1,3,469056.59271738,935250.58811478
10,0.1,3,479802.29203561,935250.58811478
11,0.1,3,291752.55396649,944556.63670581
12,0.1,3,302498.25328473,944556.6367058
13,0.1,3,313243.95260297,944556.63670581
14,0.1,3,323989.6519212,944556.63670581
15,0.1,3,334735.35123944,944556.63670581
16,0.1,3,345481.05055767,944556.6367058
17,0.1,3,356226.74987591,944556.63670581
18,0.1,3,420700.94578532,944556.6367058
19,0.1,3,431446.64510356,944556.63670581
20,0.1,3,442192.34442179,944556.63670581
21,0.1,0,485175.14169473,944556.63670581
22,0.1,0,495920.84101297,944556.6367058
23,0.1,3,286379.70430738,953862.68529682
24,0.1,3,297125.40362561,953862.68529683
25,0.1,3,307871.10294385,953862.68529683
26,0.1,3,318616.80226208,953862.68529682
27,0.1,3,329362.50158032,953862.68529682
28,0.1,3,340108.20089855,953862.68529682
29,0.1,3,350853.90021679,953862.68529683
30,0.1,3,361599.59953502,953862.68529682
31,0.1,0,372345.29885326,953862.68529683
32,0.1,3,404582.39680797,953862.68529682
33,0.1,3,415328.0961262,953862.68529683
34,0.1,0,501293.69067209,953862.68529683
35,0.1,3,281006.85464826,963168.73388785
36,0.1,3,291752.55396649,963168.73388784
37,0.1,3,302498.25328473,963168.73388785
38,0.1,0,313243.95260297,963168.73388784
39,0.1,0,323989.6519212,963168.73388785
40,0.1,3,334735.35123944,963168.73388784
41,0.1,3,345481.05055767,963168.73388785
42,0.1,3,356226.74987591,963168.73388784
43,0.1,0,366972.44919414,963168.73388785
44,0.1,0,377718.14851238,963168.73388785
45,0.1,0,495920.84101297,963168.73388785
46,0.1,3,275634.00498914,972474.78247887
47,0.1,3,286379.70430738,972474.78247887
48,0.1,3,297125.40362561,972474.78247887
49,0.1,3,307871.10294385,972474.78247887
50,0.1,3,318616.80226208,972474.78247887
51,0.1,3,329362.50158032,972474.78247887
52,0.1,3,340108.20089855,972474.78247887
53,0.1,0,350853.90021679,972474.78247887
54,0.1,0,361599.59953502,972474.78247887
55,0.1,0,372345.29885326,972474.78247887
56,0.1,3,270261.15533002,981780.83106989
57,0.1,3,281006.85464826,981780.83106989
58,0.1,3,291752.55396649,981780.83106989
59,0.1,3,302498.25328473,981780.83106989
60,0.1,3,313243.95260297,981780.83106989
61,0.1,0,323989.6519212,981780.83106989
62,0.1,0,334735.35123944,981780.83106989
63,0.1,0,345481.05055767,981780.83106989
64,0.1,3,254142.60635267,991086.8796609
