species,pu,amount
1,1,0
2,1,0
1,2,0
2,2,0
1,3,0
2,3,0
1,4,0
2,4,0
1,5,0
2,5,0
1,6,0
2,6,0
1,7,0
2,7,0
1,8,0
2,8,0
1,9,0
2,9,0
1,10,0
2,10,0
1,11,0
2,11,0
1,12,0
2,12,0
1,13,0
2,13,0
1,14,0
2,14,0
1,15,0
2,15,0
1,16,0
2,16,0
1,17,0
2,17,0
1,18,0
2,18,0
1,19,0
2,19,0
1,20,0
2,20,0
1,21,3.9
2,21,0.00362102443658986
1,22,1.57142857142857
2,22,0.00175440790747294
1,23,0
2,23,0
1,24,0
2,24,0
1,25,0
2,25,0
1,26,0
2,26,0
1,27,0
2,27,0
1,28,0
2,28,0
1,29,0
2,29,0
1,30,0
2,30,0
1,31,1
2,31,2.36940788220647e-05
1,32,0
2,32,0
1,33,0
2,33,0
1,34,3.5
2,34,0.00640559191132125
1,35,0
2,35,0
1,36,0
2,36,0
1,37,0
2,37,0
1,38,1.25
2,38,0.000125093223926236
1,39,1
2,39,3.48748269726552e-05
1,40,0
2,40,0
1,41,0
2,41,0
1,42,0
2,42,0
1,43,1.375
2,43,0.000111762860765253
1,44,1
2,44,0.00172107270775003
1,45,2.42857142857143
2,45,0.00528743314855663
1,46,0
2,46,0
1,47,0
2,47,0
1,48,0
2,48,0
1,49,0
2,49,0
1,50,0
2,50,0
1,51,0
2,51,0
1,52,0
2,52,0
1,53,1
2,53,0.000198511478808994
1,54,1.33333333333333
2,54,0.000353216112562689
1,55,1
2,55,0.00162539028955494
1,56,0
2,56,0
1,57,0
2,57,0
1,58,0
2,58,0
1,59,0
2,59,0
1,60,0
2,60,0
1,61,2
2,61,0.000409641413960758
1,62,3.16666666666667
2,62,0.000328659986672274
1,63,2
2,63,0.000464828345460488
1,64,0
2,64,0
1,65,0
2,65,0
1,66,0
2,66,0
1,67,0
2,67,0
1,68,0
2,68,0
1,69,12.4444444444444
2,69,0.000504898823869516
1,70,36.9
2,70,0.000411362038994924
1,71,12.75
2,71,0.000513470520928312
1,72,0
2,72,0
1,73,0
2,73,0
1,74,0
2,74,0
1,75,0
2,75,0
1,76,0
2,76,0
1,77,10.8
2,77,0.000462009774502636
1,78,39.4
2,78,0.000525492634649909
1,79,1
2,79,0.00267826330489545
1,80,0
2,80,0
1,81,0
2,81,0
1,82,0
2,82,0
1,83,0
2,83,0
1,84,0
2,84,0
