species,pu,amount
1,1,0
2,1,0
1,2,1
2,2,3.38630644211569e-08
1,3,1
2,3,0
1,4,1
2,4,0
1,5,2
2,5,6.60604568260068e-08
1,6,1
2,6,1.18784814246436e-07
1,7,0
2,7,0
1,8,0
2,8,0
1,9,0
2,9,0
1,10,0
2,10,0
1,11,1
2,11,2.24519391350466e-18
1,12,0
2,12,0
1,13,1
2,13,3.23622041621077e-08
1,14,1
2,14,7.95941036928501e-08
1,15,1
2,15,2.26787866510084e-07
1,16,3
2,16,5.09268358926063e-08
1,17,0
2,17,0
1,18,0
2,18,0
1,19,0
2,19,0
1,20,0
2,20,0
1,21,0
2,21,0
1,22,0
2,22,0
1,23,2
2,23,3.02021215180498e-07
1,24,0
2,24,0
1,25,0
2,25,0
1,26,1
2,26,8.09185310490336e-18
1,27,1
2,27,1.22189935115101e-18
1,28,1
2,28,1.52069775911882e-07
1,29,1
2,29,3.23231139537107e-18
1,30,3
2,30,3.69370301933261e-07
1,31,0
2,31,0
1,32,0
2,32,0
1,33,0
2,33,0
1,34,0
2,34,0
1,35,0
2,35,0
1,36,1
2,36,2.01210947502354e-06
1,37,1
2,37,6.19440214873533e-18
1,38,0
2,38,0
1,39,2
2,39,1.4895294898828e-07
1,40,1
2,40,4.49945223580445e-08
1,41,0
2,41,0
1,42,1
2,42,6.04157244137082e-18
1,43,0
2,43,0
1,44,0
2,44,0
1,45,0
2,45,0
1,46,2
2,46,2.95218802150594e-06
1,47,0
2,47,0
1,48,0
2,48,0
1,49,0
2,49,0
1,50,0
2,50,0
1,51,0
2,51,0
1,52,0
2,52,0
1,53,0
2,53,0
1,54,0
2,54,0
1,55,0
2,55,0
1,56,0
2,56,0
1,57,1
2,57,1.78549221725978e-07
1,58,0
2,58,0
1,59,0
2,59,0
1,60,0
2,60,0
1,61,1
2,61,1.04130454308159e-07
1,62,0
2,62,0
1,63,0
2,63,0
1,64,0
2,64,0
1,65,0
2,65,0
1,66,0
2,66,0
1,67,0
2,67,0
1,68,0
2,68,0
1,69,0
2,69,0
1,70,0
2,70,0
1,71,0
2,71,0
1,72,0
2,72,0
1,73,0
2,73,0
1,74,0
2,74,0
1,75,0
2,75,0
1,76,0
2,76,0
1,77,0
2,77,0
1,78,0
2,78,0
1,79,0
2,79,0
1,80,2
2,80,1.66256958865936e-07
1,81,1
2,81,6.93215523588965e-07
1,82,1
2,82,2.52101931294585e-06
1,83,0
