id,PARTIAL,RESERVED
1,187,347
2,467,52
3,499,985
4,291,207
5,458,276
6,291,821
7,228,122
8,222,404
9,305,300
10,308,681
11,238,813
12,406,537
13,298,931
14,481,653
15,151,919
16,415,826
17,156,455
18,60,983
19,419,731
20,411,875
21,43,247
22,290,462
23,498,287
24,414,988
25,129,85
26,363,736
27,370,681
28,3,479
29,31,459
30,16,615
31,268,378
32,88,986
33,429,887
34,156,392
35,309,526
36,259,783
37,411,224
38,454,149
39,200,268
40,10,90
41,454,977
42,218,74
43,122,53
44,201,390
45,310,619
46,475,773
47,254,952
48,374,738
49,271,897
50,484,580
51,382,969
52,448,76
53,233,147
54,258,870
55,481,350
56,61,543
57,386,607
58,394,375
59,477,903
60,160,790
61,267,729
62,430,492
63,424,303
64,334,289
65,414,490
66,251,599
67,106,407
68,178,651
69,442,709
70,62,365
71,114,571
72,352,931
73,179,353
74,279,64
75,219,955
76,64,950
77,253,855
78,380,886
79,444,840
80,172,598
81,361,422
82,207,252
83,266,941
84,462,152
85,218,353
86,390,123
87,173,716
88,65,587
89,467,346
90,308,318
91,337,682
92,178,891
93,144,815
94,252,818
95,204,726
96,106,372
97,305,197
98,419,89
99,436,417
100,62,975
