species,pu,amount
6,1,53
10,1,85
7,2,15
8,2,19
3,3,1
5,3,55
8,3,19
9,3,94
10,3,72
5,4,67
8,4,91
1,5,89
3,5,12
8,5,21
10,5,49
1,6,30
2,6,48
5,6,95
1,7,69
2,7,4
3,7,9
7,7,48
10,7,90
4,8,53
7,8,41
3,10,91
10,10,23
4,11,49
9,12,34
6,13,67
7,13,80
4,14,52
7,14,58
1,15,71
2,15,43
3,15,12
8,15,6
10,15,89
1,16,99
3,16,1
6,16,8
10,16,64
6,17,78
8,17,42
1,18,17
4,18,61
6,18,65
9,18,92
3,19,35
4,19,51
5,19,88
8,19,49
9,19,81
1,20,31
8,21,49
10,21,67
1,22,55
2,22,40
6,22,33
7,22,92
9,22,21
5,23,95
8,23,80
2,24,2
3,24,27
4,24,18
5,24,76
6,24,32
7,24,56
10,24,14
1,25,70
4,25,61
7,25,14
1,26,37
3,26,56
4,26,13
8,26,53
9,26,51
10,26,22
5,27,71
10,27,68
3,28,33
4,28,76
9,28,51
2,29,41
4,29,68
7,29,12
9,29,14
1,30,54
6,30,97
1,32,80
2,32,8
8,32,80
2,33,47
7,33,76
10,33,52
9,34,64
2,35,78
4,35,40
3,36,87
4,36,5
9,36,26
1,37,66
3,37,38
4,37,70
5,37,10
10,37,16
4,38,12
8,38,7
9,38,94
10,38,30
2,40,91
7,40,91
9,40,10
4,41,14
5,41,2
9,41,14
3,42,73
7,42,14
2,43,60
5,43,32
8,43,29
1,44,25
2,44,79
4,44,49
9,45,53
1,46,11
3,46,8
5,46,25
6,46,27
7,46,22
10,46,58
4,47,52
5,47,90
10,47,29
4,49,70
5,49,22
7,49,9
10,49,39
3,50,53
5,50,92
9,50,87
10,50,52
1,51,76
2,51,34
6,51,92
7,51,13
10,51,61
2,52,90
9,52,32
10,52,12
2,53,84
8,53,21
10,53,39
3,54,82
2,55,72
3,55,26
5,55,52
4,56,18
5,56,24
7,56,88
9,56,32
3,57,21
7,57,24
10,57,15
1,58,58
4,58,26
10,58,97
4,59,54
6,59,3
2,60,54
3,60,59
5,60,67
6,60,12
1,61,75
3,61,60
5,61,60
7,61,90
8,61,92
4,62,62
5,62,16
5,63,12
8,63,27
6,64,46
10,64,27
7,65,64
4,66,25
1,67,91
7,67,43
3,68,57
2,69,42
3,69,97
10,69,91
3,70,7
9,70,83
10,70,65
7,71,82
8,71,47
10,71,22
2,72,37
4,72,24
7,72,38
8,72,95
4,73,80
9,73,2
10,73,98
4,74,76
6,74,67
7,74,40
4,76,5
5,76,25
2,78,23
5,78,44
7,78,34
2,79,41
9,79,72
10,79,77
1,80,81
3,80,37
5,80,86
10,80,88
3,81,12
4,81,2
7,81,31
8,81,6
9,81,95
8,82,45
5,83,61
6,83,10
2,84,53
3,84,24
5,84,54
7,84,95
8,84,80
2,85,72
6,85,64
1,86,93
10,86,5
6,87,47
8,87,90
9,87,83
2,88,23
3,88,59
6,88,20
8,88,59
9,88,50
10,88,48
4,89,98
6,89,1
7,89,24
9,89,16
7,90,95
5,91,78
6,91,8
1,92,11
9,92,17
2,93,14
3,93,50
6,93,75
5,94,56
6,94,95
7,94,4
8,94,98
3,95,88
4,95,26
7,95,59
9,95,84
10,95,63
6,96,40
9,96,19
10,96,94
4,97,30
7,97,94
9,97,20
10,97,10
1,98,48
4,99,51
8,99,85
10,99,39
2,100,76
7,100,41
9,100,51
